frequency,channel,power,log_power
0.0,Fp1,2.7486760914950274e-09,-8.560876435116342
0.244140625,Fp1,2.3436561507382733e-08,-7.63010610544876
0.48828125,Fp1,4.858844267596377e-09,-8.313467020428126
0.732421875,Fp1,1.2741395627981862e-09,-8.894782998975959
0.9765625,Fp1,6.62644193261769e-10,-9.178719603392633
1.220703125,Fp1,4.69105873339177e-10,-9.328729129528163
1.46484375,Fp1,3.928654253344768e-10,-9.405756190193449
1.708984375,Fp1,2.73370170072362e-10,-9.56324887703872
1.953125,Fp1,1.6642977581567527e-10,-9.778768971821776
2.197265625,Fp1,1.5157536993687956e-10,-9.819371363146768
2.44140625,Fp1,1.4319873825985798e-10,-9.84406080862869
2.685546875,Fp1,1.4197714105516236e-10,-9.847781573312359
2.9296875,Fp1,1.24181831452467e-10,-9.905941939401979
3.173828125,Fp1,9.646587009056101e-11,-10.015626314149866
3.41796875,Fp1,6.810602100292037e-11,-10.16681449201153
3.662109375,Fp1,6.798787393922951e-11,-10.167568539512718
3.90625,Fp1,5.475849672882746e-11,-10.261548482951056
4.150390625,Fp1,4.7359615072194265e-11,-10.324591836114134
4.39453125,Fp1,3.6526143955364655e-11,-10.437396173594282
4.638671875,Fp1,3.0823068024663343e-11,-10.51112413525203
4.8828125,Fp1,2.870089091897765e-11,-10.542104621900487
5.126953125,Fp1,2.8170751128276767e-11,-10.550201573088177
5.37109375,Fp1,2.5920530362010343e-11,-10.586356116576983
5.615234375,Fp1,2.0746013371548155e-11,-10.683065346522037
5.859375,Fp1,1.4731203473334693e-11,-10.831761771794286
6.103515625,Fp1,1.61004219801059e-11,-10.793162741283068
6.34765625,Fp1,1.6435350722259868e-11,-10.784221023853915
6.591796875,Fp1,1.2264612366554532e-11,-10.911346173485049
6.8359375,Fp1,1.0437101692928456e-11,-10.98142008500429
7.080078125,Fp1,1.0346956085770531e-11,-10.985187394128179
7.32421875,Fp1,1.0303469614260492e-11,-10.987016505334465
7.568359375,Fp1,9.134161044315804e-12,-11.039331335619195
7.8125,Fp1,7.739536272718993e-12,-11.11128506001899
8.056640625,Fp1,7.755393897165932e-12,-11.110396139433707
8.30078125,Fp1,8.058635273108917e-12,-11.093738499577226
8.544921875,Fp1,8.56063434417203e-12,-11.06749405285015
8.7890625,Fp1,1.155272029137351e-11,-10.937315741448879
9.033203125,Fp1,1.202049816123425e-11,-10.920077533648417
9.27734375,Fp1,1.2888277972362172e-11,-10.889805105692412
9.521484375,Fp1,1.5421354455754888e-11,-10.811877480576413
9.765625,Fp1,1.1756924698967062e-11,-10.929706263373028
10.009765625,Fp1,9.522396365209814e-12,-11.021253745184467
10.25390625,Fp1,6.209490894148977e-12,-11.206944005447484
10.498046875,Fp1,5.038112670031323e-12,-11.297732124367535
10.7421875,Fp1,4.434247896260703e-12,-11.353180031345868
10.986328125,Fp1,3.792786577814858e-12,-11.421041594598838
11.23046875,Fp1,3.2046815729429663e-12,-11.494215116842215
11.474609375,Fp1,2.7926980134657835e-12,-11.553976023903768
11.71875,Fp1,2.4703154894222213e-12,-11.60724757849518
11.962890625,Fp1,2.375146493932526e-12,-11.624309598862496
12.20703125,Fp1,1.9891222889232083e-12,-11.701338516135513
12.451171875,Fp1,2.2600171184150747e-12,-11.645888271292842
12.6953125,Fp1,1.766072445674077e-12,-11.752991485293464
12.939453125,Fp1,1.8221906663727925e-12,-11.739406182236108
13.18359375,Fp1,1.870191312918644e-12,-11.728113964642617
13.427734375,Fp1,1.9585811811584568e-12,-11.708058422687232
13.671875,Fp1,1.7289210965104569e-12,-11.762224826351316
13.916015625,Fp1,1.6359301154004625e-12,-11.786235252708831
14.16015625,Fp1,1.5829604911154433e-12,-11.800529924496251
14.404296875,Fp1,1.6412030898722426e-12,-11.784837674063642
14.6484375,Fp1,1.3829934368529308e-12,-11.859179880877905
14.892578125,Fp1,1.3170695979031589e-12,-11.880391275010377
15.13671875,Fp1,1.4853298040393364e-12,-11.828177104480423
15.380859375,Fp1,1.3782957177517257e-12,-11.860657593161768
15.625,Fp1,1.5483277409811785e-12,-11.810137105000594
15.869140625,Fp1,1.4799394758740897e-12,-11.829756045301924
16.11328125,Fp1,1.3432247475420097e-12,-11.871851315364701
16.357421875,Fp1,1.384675177893913e-12,-11.858652093020583
16.6015625,Fp1,1.287766479616885e-12,-11.890162883721985
16.845703125,Fp1,1.237110822367149e-12,-11.907591393833531
17.08984375,Fp1,1.2483509808064832e-12,-11.903663293181346
17.333984375,Fp1,1.2074162543361502e-12,-11.918142981935436
17.578125,Fp1,1.4422816448426076e-12,-11.840949923488035
17.822265625,Fp1,1.3777080583222285e-12,-11.860842801363262
18.06640625,Fp1,1.4372083709094153e-12,-11.842480261945276
18.310546875,Fp1,1.3867765060618149e-12,-11.857993524510695
18.5546875,Fp1,1.2974383069107469e-12,-11.886913283656943
18.798828125,Fp1,1.3334903745380697e-12,-11.875010114807317
19.04296875,Fp1,1.344354084618531e-12,-11.871486328943808
19.287109375,Fp1,1.2224066620884269e-12,-11.912784291866915
19.53125,Fp1,1.1192397802104049e-12,-11.951076862473657
19.775390625,Fp1,1.1676986740925625e-12,-11.932669212927578
20.01953125,Fp1,1.1055795117258813e-12,-11.956410018112821
20.263671875,Fp1,1.077515342056346e-12,-11.967576537480014
20.5078125,Fp1,9.536965257629825e-13,-12.02058979946131
20.751953125,Fp1,1.0764533227723025e-12,-11.968004797333224
20.99609375,Fp1,9.416969626659216e-13,-12.0260888303444
21.240234375,Fp1,1.1248516973493138e-12,-11.948904732013448
21.484375,Fp1,9.949603684465653e-13,-12.002194217855031
21.728515625,Fp1,9.043979792971366e-13,-12.043640416672856
21.97265625,Fp1,8.25863489981273e-13,-12.083091732882222
22.216796875,Fp1,9.144426785710185e-13,-12.038843512889075
22.4609375,Fp1,9.21773164588837e-13,-12.035375939562153
22.705078125,Fp1,8.026144292184736e-13,-12.09549303688522
22.94921875,Fp1,7.4178079947158e-13,-12.129724412300833
23.193359375,Fp1,6.884371378161659e-13,-12.162135709649547
23.4375,Fp1,7.801945890674487e-13,-12.107797066003588
23.681640625,Fp1,8.239263240526775e-13,-12.084111621419298
