frequency,channel,power,log_power,patient
0.0,Fp1,2.7486760914950274e-09,-8.560876435116342,Healthy
0.244140625,Fp1,2.3436561507382733e-08,-7.63010610544876,Healthy
0.48828125,Fp1,4.858844267596377e-09,-8.313467020428126,Healthy
0.732421875,Fp1,1.2741395627981862e-09,-8.894782998975959,Healthy
0.9765625,Fp1,6.62644193261769e-10,-9.178719603392633,Healthy
1.220703125,Fp1,4.69105873339177e-10,-9.328729129528163,Healthy
1.46484375,Fp1,3.928654253344768e-10,-9.405756190193449,Healthy
1.708984375,Fp1,2.73370170072362e-10,-9.56324887703872,Healthy
1.953125,Fp1,1.6642977581567527e-10,-9.778768971821776,Healthy
2.197265625,Fp1,1.5157536993687956e-10,-9.819371363146768,Healthy
2.44140625,Fp1,1.4319873825985798e-10,-9.84406080862869,Healthy
2.685546875,Fp1,1.4197714105516236e-10,-9.84778157331236,Healthy
2.9296875,Fp1,1.24181831452467e-10,-9.90594193940198,Healthy
3.173828125,Fp1,9.6465870090561e-11,-10.015626314149866,Healthy
3.41796875,Fp1,6.810602100292037e-11,-10.16681449201153,Healthy
3.662109375,Fp1,6.798787393922951e-11,-10.167568539512718,Healthy
3.90625,Fp1,5.475849672882746e-11,-10.261548482951056,Healthy
4.150390625,Fp1,4.7359615072194265e-11,-10.324591836114134,Healthy
4.39453125,Fp1,3.6526143955364655e-11,-10.437396173594282,Healthy
4.638671875,Fp1,3.0823068024663343e-11,-10.51112413525203,Healthy
4.8828125,Fp1,2.8700890918977648e-11,-10.542104621900489,Healthy
5.126953125,Fp1,2.8170751128276767e-11,-10.550201573088176,Healthy
5.37109375,Fp1,2.5920530362010343e-11,-10.586356116576985,Healthy
5.615234375,Fp1,2.0746013371548155e-11,-10.683065346522037,Healthy
5.859375,Fp1,1.4731203473334693e-11,-10.831761771794286,Healthy
6.103515625,Fp1,1.61004219801059e-11,-10.793162741283068,Healthy
6.34765625,Fp1,1.6435350722259868e-11,-10.784221023853917,Healthy
6.591796875,Fp1,1.2264612366554532e-11,-10.911346173485049,Healthy
6.8359375,Fp1,1.0437101692928456e-11,-10.98142008500429,Healthy
7.080078125,Fp1,1.0346956085770531e-11,-10.98518739412818,Healthy
7.32421875,Fp1,1.0303469614260492e-11,-10.987016505334465,Healthy
7.568359375,Fp1,9.134161044315804e-12,-11.039331335619195,Healthy
7.8125,Fp1,7.739536272718993e-12,-11.11128506001899,Healthy
8.056640625,Fp1,7.755393897165932e-12,-11.110396139433709,Healthy
8.30078125,Fp1,8.058635273108917e-12,-11.093738499577226,Healthy
8.544921875,Fp1,8.56063434417203e-12,-11.06749405285015,Healthy
8.7890625,Fp1,1.155272029137351e-11,-10.93731574144888,Healthy
9.033203125,Fp1,1.202049816123425e-11,-10.920077533648415,Healthy
9.27734375,Fp1,1.2888277972362172e-11,-10.889805105692412,Healthy
9.521484375,Fp1,1.5421354455754888e-11,-10.811877480576412,Healthy
9.765625,Fp1,1.1756924698967062e-11,-10.929706263373028,Healthy
10.009765625,Fp1,9.522396365209814e-12,-11.021253745184469,Healthy
10.25390625,Fp1,6.209490894148977e-12,-11.206944005447484,Healthy
10.498046875,Fp1,5.038112670031323e-12,-11.297732124367537,Healthy
10.7421875,Fp1,4.4342478962607026e-12,-11.353180031345868,Healthy
10.986328125,Fp1,3.792786577814858e-12,-11.421041594598838,Healthy
11.23046875,Fp1,3.2046815729429663e-12,-11.494215116842216,Healthy
11.474609375,Fp1,2.7926980134657835e-12,-11.553976023903768,Healthy
11.71875,Fp1,2.4703154894222213e-12,-11.60724757849518,Healthy
11.962890625,Fp1,2.375146493932526e-12,-11.624309598862496,Healthy
