frequency,channel,power,log_power
0.0,Fp1,6.502011130902055e-10,-9.186952291363239
0.244140625,Fp1,8.238962227263916e-09,-8.084127488224777
0.48828125,Fp1,3.2718801959953967e-09,-8.485202606947741
0.732421875,Fp1,1.3070021686531511e-09,-8.883723691812481
0.9765625,Fp1,6.967882215902525e-10,-9.156899199190969
1.220703125,Fp1,4.70858285163824e-10,-9.327109783385355
1.46484375,Fp1,3.3291940610352e-10,-9.477660888778349
1.708984375,Fp1,2.543713261756231e-10,-9.594531845796999
1.953125,Fp1,1.571385559212298e-10,-9.8037172422712
2.197265625,Fp1,1.677230608199704e-10,-9.775407220647828
2.44140625,Fp1,1.4355354102720978e-10,-9.842986090317526
2.685546875,Fp1,1.0519010356688628e-10,-9.978025117296964
2.9296875,Fp1,9.777522374645752e-11,-10.009771181545705
3.173828125,Fp1,9.699092217573873e-11,-10.013268911439678
3.41796875,Fp1,7.840425375287016e-11,-10.105660374416532
3.662109375,Fp1,5.638486226304691e-11,-10.24883747612386
3.90625,Fp1,4.559645593328173e-11,-10.341068912345104
4.150390625,Fp1,4.038172508029469e-11,-10.393815132226207
4.39453125,Fp1,3.247516812292405e-11,-10.48844859192024
4.638671875,Fp1,3.0070799367978115e-11,-10.521855026954768
4.8828125,Fp1,3.111087227078809e-11,-10.50708781219315
5.126953125,Fp1,3.144631150114322e-11,-10.502430287854438
5.37109375,Fp1,2.8724334805936223e-11,-10.541750019853126
5.615234375,Fp1,2.5976978405307463e-11,-10.585411366666321
5.859375,Fp1,1.7398841600018265e-11,-10.75947966570976
6.103515625,Fp1,1.5597219910628777e-11,-10.806952804534628
6.34765625,Fp1,1.7226209944207593e-11,-10.763810264129297
6.591796875,Fp1,1.7006784929957732e-11,-10.769377780399862
6.8359375,Fp1,1.4861977242539755e-11,-10.827923408045118
7.080078125,Fp1,1.3239661775270527e-11,-10.87812310938347
7.32421875,Fp1,1.2910749948845148e-11,-10.889048530066228
7.568359375,Fp1,1.0052604231868407e-11,-10.997721415157097
7.8125,Fp1,9.109057094837614e-12,-11.04052657579346
8.056640625,Fp1,7.766352819252017e-12,-11.10978288368777
8.30078125,Fp1,7.544747526284088e-12,-11.122355288661915
8.544921875,Fp1,6.471112104195766e-12,-11.189021076485643
8.7890625,Fp1,6.028583585622144e-12,-11.219784713267202
9.033203125,Fp1,5.492731769617257e-12,-11.260211608664678
9.27734375,Fp1,4.501736124029573e-12,-11.346619965407582
9.521484375,Fp1,4.772966345909033e-12,-11.321211627824733
9.765625,Fp1,4.276993034025854e-12,-11.36886145708165
10.009765625,Fp1,3.931607078123533e-12,-11.405429891737535
10.25390625,Fp1,3.711822405359468e-12,-11.430412811067804
10.498046875,Fp1,3.4342168525314066e-12,-11.464172284922249
10.7421875,Fp1,3.171057158417993e-12,-11.498795929728885
10.986328125,Fp1,3.44454570653324e-12,-11.46286804811216
11.23046875,Fp1,3.081833790038109e-12,-11.51119078742674
11.474609375,Fp1,2.8039315596158537e-12,-11.552232591149004
11.71875,Fp1,2.638619867679681e-12,-11.57862317183388
11.962890625,Fp1,2.503474863878112e-12,-11.601456764773895
12.20703125,Fp1,2.513587522905292e-12,-11.599705988075439
12.451171875,Fp1,2.147511985480956e-12,-11.668064403648657
12.6953125,Fp1,2.170685253798624e-12,-11.663403144048154
12.939453125,Fp1,1.9948368912522987e-12,-11.700092608811827
13.18359375,Fp1,1.916512578126942e-12,-11.717488326113152
13.427734375,Fp1,1.983615096821041e-12,-11.702542595056707
13.671875,Fp1,1.9452220743964337e-12,-11.71103081069847
13.916015625,Fp1,1.8295801690176404e-12,-11.737648555732356
14.16015625,Fp1,1.7506031330869266e-12,-11.756812298602936
14.404296875,Fp1,1.7778155523955965e-12,-11.750113298895647
14.6484375,Fp1,1.7836732969574737e-12,-11.748684689377985
14.892578125,Fp1,1.6491749522655188e-12,-11.782733269902378
15.13671875,Fp1,1.311862005544539e-12,-11.882111845892107
15.380859375,Fp1,1.3767561725309445e-12,-11.861142967732011
15.625,Fp1,1.3285335094164934e-12,-11.876627486966056
15.869140625,Fp1,1.2451178186586272e-12,-11.904789551722978
16.11328125,Fp1,1.3157078595186026e-12,-11.880840530998405
16.357421875,Fp1,1.285187597880606e-12,-11.891033474062011
16.6015625,Fp1,1.2182421519270557e-12,-11.914266377718679
16.845703125,Fp1,9.937837794441262e-13,-12.002708096094612
17.08984375,Fp1,1.0519503421323029e-12,-11.978004760797239
17.333984375,Fp1,1.1701382665108648e-12,-11.931762817882191
17.578125,Fp1,1.289573886126611e-12,-11.88955376991394
17.822265625,Fp1,1.094506310040827e-12,-11.960781730297043
18.06640625,Fp1,9.812337242013969e-13,-12.008227533862634
18.310546875,Fp1,8.828338956923943e-13,-12.054121000805388
18.5546875,Fp1,8.703772692746309e-13,-12.060292459508835
18.798828125,Fp1,9.489999723373301e-13,-12.02273380023208
19.04296875,Fp1,8.853651509505741e-13,-12.052877576379897
19.287109375,Fp1,8.851132811973632e-13,-12.053001142578424
19.53125,Fp1,7.646542763065026e-13,-12.116534878349677
19.775390625,Fp1,7.922322619349759e-13,-12.101147475873857
20.01953125,Fp1,8.66326653869258e-13,-12.062318323659095
20.263671875,Fp1,8.489510908833897e-13,-12.071117329274664
20.5078125,Fp1,7.249147774152588e-13,-12.139713047048026
20.751953125,Fp1,7.609620047879276e-13,-12.118637027227967
20.99609375,Fp1,7.320241685281123e-13,-12.135474580027509
21.240234375,Fp1,6.336361300701791e-13,-12.198160067146551
21.484375,Fp1,5.540717769480019e-13,-12.25643397116822
21.728515625,Fp1,5.701586678583554e-13,-12.244004268913013
21.97265625,Fp1,6.063035498633612e-13,-12.21730988899486
22.216796875,Fp1,6.454242506765772e-13,-12.190154720777237
22.4609375,Fp1,6.188322242810371e-13,-12.208427079486153
22.705078125,Fp1,5.559259579202999e-13,-12.254983046921417
22.94921875,Fp1,5.410439086094142e-13,-12.266767488141177
23.193359375,Fp1,6.423636335159697e-13,-12.192219053984672
23.4375,Fp1,5.988358852012015e-13,-12.222692182480793
23.681640625,Fp1,4.769456082120282e-13,-12.321531145908057
